date,temperature,humidity,luminosity
2020-12-02 16:34:19.428,21.7,17.3,31
2020-12-02 16:34:17.155,21.7,17.2,40
2020-12-02 16:34:14.873,21.7,17.1,38
2020-12-02 16:34:12.596,21.7,17.1,38
2020-12-02 16:34:10.318,21.7,17.0,35
2020-12-02 16:34:08.045,21.7,17.0,36
2020-12-02 16:34:05.767,21.7,17.0,35
2020-12-02 16:34:03.489,21.7,17.0,34
2020-12-02 16:34:01.212,21.7,17.0,38
2020-12-02 16:33:58.934,21.7,17.0,38
2020-12-02 16:33:56.661,21.7,17.0,39
2020-12-02 16:33:54.383,21.7,17.0,38
2020-12-02 16:33:52.106,21.7,17.0,38
2020-12-02 16:33:49.828,21.7,17.0,38
2020-12-02 16:33:47.554,21.7,17.0,39
2020-12-02 16:33:45.277,21.7,17.1,40
2020-12-02 16:33:42.999,21.7,17.1,38
2020-12-02 16:33:40.722,21.7,17.0,38
2020-12-02 16:33:38.444,21.7,17.0,37
2020-12-02 16:33:36.171,21.7,17.0,40
2020-12-02 16:33:33.893,21.7,17.0,39
2020-12-02 16:33:31.615,21.7,17.1,37
2020-12-02 16:33:29.338,21.7,17.1,38
2020-12-02 16:33:27.060,21.7,17.1,38
2020-12-02 16:33:24.786,21.7,17.2,40
2020-12-02 16:33:22.508,21.7,17.2,34
2020-12-02 16:33:20.231,21.7,17.3,34
2020-12-02 16:33:17.953,21.7,17.2,34
2020-12-02 16:33:15.676,21.7,17.2,35
2020-12-02 16:33:13.402,21.7,17.1,34
2020-12-02 16:33:11.124,21.6,17.1,37
2020-12-02 16:33:08.849,21.7,17.1,37
2020-12-02 16:33:06.569,21.6,16.9,36
2020-12-02 16:33:04.296,21.6,16.9,39
2020-12-02 16:33:02.018,21.6,16.9,40
2020-12-02 16:32:59.741,21.6,16.9,38
2020-12-02 16:32:57.463,21.6,16.9,38
2020-12-02 16:32:55.189,21.6,16.9,38
2020-12-02 16:32:52.912,21.6,16.9,40
2020-12-02 16:32:50.634,21.6,17.0,40
2020-12-02 16:32:48.357,21.6,17.0,35
2020-12-02 16:32:46.079,21.6,17.0,36
2020-12-02 16:32:43.806,21.6,17.0,33
2020-12-02 16:32:41.528,21.6,17.0,34
2020-12-02 16:32:39.250,21.6,16.9,33
2020-12-02 16:32:36.973,21.6,16.9,33
2020-12-02 16:32:34.699,21.6,16.9,33
2020-12-02 16:32:32.422,21.6,16.9,33
2020-12-02 16:32:30.144,21.6,16.9,35
2020-12-02 16:32:27.867,21.6,16.9,34
2020-12-02 16:32:25.593,21.6,16.9,37
2020-12-02 16:32:23.316,21.6,16.9,38
2020-12-02 16:32:21.038,21.6,17.0,37
2020-12-02 16:32:18.761,21.6,17.0,38
2020-12-02 16:32:16.487,21.6,17.1,37
2020-12-02 16:32:14.210,21.6,17.1,32
2020-12-02 16:32:11.932,21.6,17.2,32
2020-12-02 16:32:09.654,21.6,17.2,33
2020-12-02 16:32:07.377,21.6,17.1,34
2020-12-02 16:32:05.103,21.6,17.1,33
2020-12-02 16:32:02.826,21.6,16.9,33
2020-12-02 16:32:00.549,21.6,16.8,34
2020-12-02 16:31:58.271,21.6,16.7,33
2020-12-02 16:31:55.997,21.6,16.7,38
2020-12-02 16:31:53.719,21.6,16.7,36
2020-12-02 16:31:51.442,21.7,16.8,38
2020-12-02 16:31:49.164,21.7,16.8,38
2020-12-02 16:31:46.887,21.7,16.8,40
2020-12-02 16:31:44.614,21.7,16.7,39
2020-12-02 16:31:42.336,21.7,16.7,38
2020-12-02 16:31:40.058,21.7,16.7,39
2020-12-02 16:31:37.780,21.7,16.7,38
2020-12-02 16:31:35.507,21.7,16.7,40
2020-12-02 16:31:33.229,21.7,16.8,39
2020-12-02 16:31:30.952,21.7,16.8,38
2020-12-02 16:31:28.674,21.7,16.8,38
2020-12-02 16:31:26.397,21.7,16.8,38
2020-12-02 16:31:24.123,21.7,16.9,39
2020-12-02 16:31:21.846,21.7,16.9,38
2020-12-02 16:31:19.568,21.7,16.9,36
2020-12-02 16:31:17.291,21.7,17.0,36
2020-12-02 16:31:15.017,21.7,17.0,37
2020-12-02 16:31:12.740,21.7,17.0,38
2020-12-02 16:31:10.462,21.7,17.0,37
2020-12-02 16:31:08.184,21.7,17.0,38
2020-12-02 16:31:05.907,21.7,17.0,38
2020-12-02 16:31:03.633,21.7,16.9,38
